Acc	GenBank	Genus	Species	Host
AplaPV2_Anas_platyrhynchos_papillomavirus_2	MW888448	Treiszetapapillomavirus	AplaPV2_Anas_platyrhynchos_papillomavirus_2 (Treiszetapapillomavirus) 	Others
FgPV1_Fulmarus_glacialis_papillomavirus_1	KJ452243	Treiszetapapillomavirus	FgPV1_Fulmarus_glacialis_papillomavirus_1 (Treiszetapapillomavirus) 	Others
MjavPV1_Manis_javanica_papillomavirus_1	BK062771	Unclassified	MjavPV1_Manis_javanica_papillomavirus_1 (Unclassified) 	Others
MjavPV2_Manis_javanica_papillomavirus_2	BK062772	Unclassified	MjavPV2_Manis_javanica_papillomavirus_2 (Unclassified) 	Others
RjiePV3_Rana_jiemuxiensis_papillomavirus_3	BK066313	Unclassified	RjiePV3_Rana_jiemuxiensis_papillomavirus_3 (Unclassified) 	Others
GmorPV1_Gadus_morhua_papillomavirus_1	BK066321	Unclassified	GmorPV1_Gadus_morhua_papillomavirus_1 (Unclassified) 	Others
FcaPV9_Felis_catus_papillomavirus_9	BK066374	Unclassified	FcaPV9_Felis_catus_papillomavirus_9 (Unclassified) 	Carnivora
CxCPV1_Carassius_auratus_x_Cyprinus_carpio_papillomavirus_1	BK066382	Unclassified	CxCPV1_Carassius_auratus_x_Cyprinus_carpio_papillomavirus_1 (Unclassified) 	Others
AsylPV1_Apodemus_sylvaticus_papillomavirus_1	BK066393	Unclassified	AsylPV1_Apodemus_sylvaticus_papillomavirus_1 (Unclassified) 	Rodentia
LwPV2_Leptonychotes_weddellii_papillomavirus_2	MG571089	Unclassified	LwPV2_Leptonychotes_weddellii_papillomavirus_2 (Unclassified) 	Carnivora
BPV27_Bos_taurus_papillomavirus_27	MH512005	Unclassified	BPV27_Bos_taurus_papillomavirus_27 (Unclassified) 	Ungulata
CrupPV1_Coryphaenoides_rupestris_papillomavirus_1	BK066408	Unclassified	CrupPV1_Coryphaenoides_rupestris_papillomavirus_1 (Unclassified) 	Others
MaegPV1_Melanogrammus_aeglefinus_associated_papillomavirus_1	MH616908	Unclassified	MaegPV1_Melanogrammus_aeglefinus_associated_papillomavirus_1 (Unclassified) 	Others
MaegPV2_Melanogrammus_aeglefinus_associated_papillomavirus_2	MH617143	Unclassified	MaegPV2_Melanogrammus_aeglefinus_associated_papillomavirus_2 (Unclassified) 	Others
HfrePV1_Hemidactylus_frenatus_papillomavirus_1	MK207055	Unclassified	HfrePV1_Hemidactylus_frenatus_papillomavirus_1 (Unclassified) 	Others
TbelPV2_Tupaia_belangeri_papillomavirus_2	MK443497	Unclassified	TbelPV2_Tupaia_belangeri_papillomavirus_2 (Unclassified) 	Others
FarcPV1_Fratercula_arctica_papillomavirus_1	MK620302	Unclassified	FarcPV1_Fratercula_arctica_papillomavirus_1 (Unclassified) 	Others
AplaPV1_Anas_platyrhynchos_papillomavirus_1	MK620303	Unclassified	AplaPV1_Anas_platyrhynchos_papillomavirus_1 (Unclassified) 	Others
LsmiPV1_Larus_smithsonianus_papillomavirus_1	MK620304	Unclassified	LsmiPV1_Larus_smithsonianus_papillomavirus_1 (Unclassified) 	Others
RtriPV1_Rissa_tridactyla_papillomavirus_1	MK620305	Unclassified	RtriPV1_Rissa_tridactyla_papillomavirus_1 (Unclassified) 	Others
HfrePV2_Hemidactylus_frenatus_papillomavirus_2	MN194600	Unclassified	HfrePV2_Hemidactylus_frenatus_papillomavirus_2 (Unclassified) 	Others
TbraPV1_Tadarida_brasiliensis_papillomavirus_1	MN329804	Unclassified	TbraPV1_Tadarida_brasiliensis_papillomavirus_1 (Unclassified) 	Chiroptera
SglaPV1_Silurus_glanis__papillomavirus_1	MN515404	Unclassified	SglaPV1_Silurus_glanis__papillomavirus_1 (Unclassified) 	Others
FcaPV6_Felis_catus_papillomavirus_6	MN857145	Unclassified	FcaPV6_Felis_catus_papillomavirus_6 (Unclassified) 	Carnivora
CdPV3_Camelus_dromedarius_papillomavirus_3	MT130100	Unclassified	CdPV3_Camelus_dromedarius_papillomavirus_3 (Unclassified) 	Ungulata
ErugPV1_Eptesicus_regulus__papillomavirus_1	MT766314	Unclassified	ErugPV1_Eptesicus_regulus__papillomavirus_1 (Unclassified) 	Chiroptera
BPV32_Bos_Taurus_papillomavirus_32	MW401529	Unclassified	BPV32_Bos_Taurus_papillomavirus_32 (Unclassified) 	Ungulata
BPV33_Bos_Taurus_papillomavirus_33	MW401530	Unclassified	BPV33_Bos_Taurus_papillomavirus_33 (Unclassified) 	Ungulata
BPV34_Bos_Taurus_papillomavirus_34	MW401531	Unclassified	BPV34_Bos_Taurus_papillomavirus_34 (Unclassified) 	Ungulata
CsemPV1_Cynoglossus_semilaevis_papillomavirus_1	BK066436	Unclassified	CsemPV1_Cynoglossus_semilaevis_papillomavirus_1 (Unclassified) 	Others
PparPV3_Panthera_pardus_papillomavirus_3	BK066472	Unclassified	PparPV3_Panthera_pardus_papillomavirus_3 (Unclassified) 	Carnivora
CPV31_Canis_familiaris_papillomavirus_31	BK066488	Unclassified	CPV31_Canis_familiaris_papillomavirus_31 (Unclassified) 	Carnivora
FcaPV8_Felis_catus_papillomavirus_8	BK066513	Unclassified	FcaPV8_Felis_catus_papillomavirus_8 (Unclassified) 	Carnivora
AsmexPV1_Astyanax_mexicanus_papillomavirus_1	BK066583	Unclassified	AsmexPV1_Astyanax_mexicanus_papillomavirus_1 (Unclassified) 	Others
CPV30_Canis_familiaris_papillomavirus_30	BK066644	Unclassified	CPV30_Canis_familiaris_papillomavirus_30 (Unclassified) 	Carnivora
CPV29_Canis_familiaris_papillomavirus_29	BK066654	Unclassified	CPV29_Canis_familiaris_papillomavirus_29 (Unclassified) 	Carnivora
GmorPV2_Gadus_morhua_papillomavirus_2	BK066681	Unclassified	GmorPV2_Gadus_morhua_papillomavirus_2 (Unclassified) 	Others
PguaPV1_Podarcis_guadarramae_papillomavirus_1	BK066718	Unclassified	PguaPV1_Podarcis_guadarramae_papillomavirus_1 (Unclassified) 	Others
RmarPV1_Rhinella_marina_papillomavirus_1	MW582900	Unclassified	RmarPV1_Rhinella_marina_papillomavirus_1 (Unclassified) 	Others
MfoiPV1_Martes_foina_papillomavirus_1	MW841296	Unclassified	MfoiPV1_Martes_foina_papillomavirus_1 (Unclassified) 	Carnivora
TbraPV2_Tadarida_brasiliensis_papillomavirus_2	MW922427	Unclassified	TbraPV2_Tadarida_brasiliensis_papillomavirus_2 (Unclassified) 	Chiroptera
TbraPV3_Tadarida_brasiliensis_papillomavirus_3	MW922428	Unclassified	TbraPV3_Tadarida_brasiliensis_papillomavirus_3 (Unclassified) 	Chiroptera
AmPV5_Ailuropoda_melanoleuca_papillomavirus_5	MZ357114	Unclassified	AmPV5_Ailuropoda_melanoleuca_papillomavirus_5 (Unclassified) 	Carnivora
TberPV1_Trematomus_bernacchii_papillomavirus_1	MZ447865	Unclassified	TberPV1_Trematomus_bernacchii_papillomavirus_1 (Unclassified) 	Others
MaegPV3_Melanogrammus_aeglefinus_associated_papillomavirus_3	MZ570859	Unclassified	MaegPV3_Melanogrammus_aeglefinus_associated_papillomavirus_3 (Unclassified) 	Others
MaegPV4_Melanogrammus_aeglefinus_associated_papillomavirus_4	MZ570860	Unclassified	MaegPV4_Melanogrammus_aeglefinus_associated_papillomavirus_4 (Unclassified) 	Others
MaegPV5_Melanogrammus_aeglefinus_associated_papillomavirus_5	MZ570861	Unclassified	MaegPV5_Melanogrammus_aeglefinus_associated_papillomavirus_5 (Unclassified) 	Others
MaegPV6_Melanogrammus_aeglefinus_associated_papillomavirus_6	MZ570862	Unclassified	MaegPV6_Melanogrammus_aeglefinus_associated_papillomavirus_6 (Unclassified) 	Others
CstrPV1_Centropristis_striata_papillomavirus_1	MZ570863	Unclassified	CstrPV1_Centropristis_striata_papillomavirus_1 (Unclassified) 	Others
CstrPV2_Centropristis_striata_papillomavirus_2	MZ570864	Unclassified	CstrPV2_Centropristis_striata_papillomavirus_2 (Unclassified) 	Others
CstrPV3_Centropristis_striata_papillomavirus_3	MZ570865	Unclassified	CstrPV3_Centropristis_striata_papillomavirus_3 (Unclassified) 	Others
CPV28_Canis_familiaris_papillomavirus_28	BK066742	Unclassified	CPV28_Canis_familiaris_papillomavirus_28 (Unclassified) 	Carnivora
XbirPV1_Xiphophorus_birchmanni_papillomavirus_1	BK066746	Unclassified	XbirPV1_Xiphophorus_birchmanni_papillomavirus_1 (Unclassified) 	Others
LleiPV2_Leptobrachium_leishanense_papillomavirus_2	BK066762	Unclassified	LleiPV2_Leptobrachium_leishanense_papillomavirus_2 (Unclassified) 	Others
BbarPV1_Barbastella_barbastellus_papillomavirus_1	BK066786	Unclassified	BbarPV1_Barbastella_barbastellus_papillomavirus_1 (Unclassified) 	Chiroptera
CPV26_Canis_familiaris_papillomavirus_26	BK066791	Unclassified	CPV26_Canis_familiaris_papillomavirus_26 (Unclassified) 	Carnivora
LleiPV1_Leptobrachium_leishanense_papillomavirus_1	BK066795	Unclassified	LleiPV1_Leptobrachium_leishanense_papillomavirus_1 (Unclassified) 	Others
RjiePV2_Rana_jiemuxiensis_papillomavirus_2	BK066841	Unclassified	RjiePV2_Rana_jiemuxiensis_papillomavirus_2 (Unclassified) 	Others
SchiPV1_Sousa_chinensis_papillomavirus_1	BK066876	Unclassified	SchiPV1_Sousa_chinensis_papillomavirus_1 (Unclassified) 	Ungulata
AmexPV1_Ambystoma_mexicanum_papillomavirus_1	BK066884	Unclassified	AmexPV1_Ambystoma_mexicanum_papillomavirus_1 (Unclassified) 	Others
SaPV2_Sparus_aurata_papillomavirus_2	BK066885	Unclassified	SaPV2_Sparus_aurata_papillomavirus_2 (Unclassified) 	Others
PparPV2_Panthera_pardus_papillomavirus_2	BK066893	Unclassified	PparPV2_Panthera_pardus_papillomavirus_2 (Unclassified) 	Carnivora
RjiePV1_Rana_jiemuxiensis_papillomavirus_1	BK066894	Unclassified	RjiePV1_Rana_jiemuxiensis_papillomavirus_1 (Unclassified) 	Others
RtiPV1_Rusa_timorensis_papillomavirus_1	KP757765	Unclassified	RtiPV1_Rusa_timorensis_papillomavirus_1 (Unclassified) 	Ungulata
MmolPV2_Molossus_molossus_papillomavirus_2	OL704823	Unclassified	MmolPV2_Molossus_molossus_papillomavirus_2 (Unclassified) 	Chiroptera
EbonPV1_Eumops_bonariensis_papillomavirus_1	OL704824	Unclassified	EbonPV1_Eumops_bonariensis_papillomavirus_1 (Unclassified) 	Chiroptera
EbonPV2_Eumops_bonariensis_papillomavirus_2	OL704825	Unclassified	EbonPV2_Eumops_bonariensis_papillomavirus_2 (Unclassified) 	Chiroptera
VvarPV1_Varecia_variegata_papillomavirus_1	OP376964	Unclassified	VvarPV1_Varecia_variegata_papillomavirus_1 (Unclassified) 	Primates
VvarPV2_Varecia_variegata_papillomavirus_2	OP376965	Unclassified	VvarPV2_Varecia_variegata_papillomavirus_2 (Unclassified) 	Primates
CPV24_Canis_familiaris_papillomavirus_24	OP432240	Unclassified	CPV24_Canis_familiaris_papillomavirus_24 (Unclassified) 	Carnivora
ClivPV1_Columba_livia_papillomavirus_1	OP628184	Unclassified	ClivPV1_Columba_livia_papillomavirus_1 (Unclassified) 	Others
DleuPV1_Delphinapterus_leucas_papillomavirus_1	OP856597	Unclassified	DleuPV1_Delphinapterus_leucas_papillomavirus_1 (Unclassified) 	Ungulata
PtroPV1_Pan_troglodytes_papillomavirus_1	OP934207	Alphapapillomavirus	PtroPV1_Pan_troglodytes_papillomavirus_1 (Alphapapillomavirus) 	Primates
NasiPV1_Neophocaena_asiaeorientalis_papillomavirus_1	OQ274126	Unclassified	NasiPV1_Neophocaena_asiaeorientalis_papillomavirus_1 (Unclassified) 	Ungulata
ElPV2_Enhydra_lutris_papillomavirus_2	OQ746290	Unclassified	ElPV2_Enhydra_lutris_papillomavirus_2 (Unclassified) 	Carnivora
HlepPV3_Hydrurga_leptonyx_papillomavirus_3	OR113676	Unclassified	HlepPV3_Hydrurga_leptonyx_papillomavirus_3 (Unclassified) 	Carnivora
HlepPV1_Hydrurga_leptonyx_papillomavirus_1	OR113678	Unclassified	HlepPV1_Hydrurga_leptonyx_papillomavirus_1 (Unclassified) 	Carnivora
AgazPV2_Arctocephalus_gazella_papillomavirus_2	OR113679	Unclassified	AgazPV2_Arctocephalus_gazella_papillomavirus_2 (Unclassified) 	Carnivora
AgazPV1_Arctocephalus_gazella_papillomavirus_1	OR113680	Unclassified	AgazPV1_Arctocephalus_gazella_papillomavirus_1 (Unclassified) 	Carnivora
LwPV8_Leptonychotes_weddellii_papillomavirus_8	OR113681	Unclassified	LwPV8_Leptonychotes_weddellii_papillomavirus_8 (Unclassified) 	Carnivora
LwPV13_Leptonychotes_weddellii_papillomavirus_13	OR113683	Unclassified	LwPV13_Leptonychotes_weddellii_papillomavirus_13 (Unclassified) 	Carnivora
RtiPV2_Rusa_timorensis_papillomavirus_2	KT852571	Unclassified	RtiPV2_Rusa_timorensis_papillomavirus_2 (Unclassified) 	Ungulata
LwPV11_Leptonychotes_weddellii_papillomavirus_11	OR113684	Unclassified	LwPV11_Leptonychotes_weddellii_papillomavirus_11 (Unclassified) 	Carnivora
LwPV12_Leptonychotes_weddellii_papillomavirus_12	OR113685	Unclassified	LwPV12_Leptonychotes_weddellii_papillomavirus_12 (Unclassified) 	Carnivora
RaffPV6_Rhinolophus_affinis_papillomavirus_6	OR427310	Unclassified	RaffPV6_Rhinolophus_affinis_papillomavirus_6 (Unclassified) 	Chiroptera
PpuPV1_Pudu_puda_papillomavirus_1	KT932713	Unclassified	PpuPV1_Pudu_puda_papillomavirus_1 (Unclassified) 	Ungulata
CcarPV5_Caracal_caracal_papillomavirus_5	OR915591	Unclassified	CcarPV5_Caracal_caracal_papillomavirus_5 (Unclassified) 	Carnivora
CcarPV6_Caracal_caracal_papillomavirus_6	OR915593	Unclassified	CcarPV6_Caracal_caracal_papillomavirus_6 (Unclassified) 	Carnivora
RsinPV5_Rhinolophus_sinicus_papillomavirus_5	OR952794	Unclassified	RsinPV5_Rhinolophus_sinicus_papillomavirus_5 (Unclassified) 	Chiroptera
BPV19_Bos_taurus_papillomavirus_19	KU519394	Unclassified	BPV19_Bos_taurus_papillomavirus_19 (Unclassified) 	Ungulata
BPV21_Bos_taurus_papillomavirus_21	KU519396	Unclassified	BPV21_Bos_taurus_papillomavirus_21 (Unclassified) 	Ungulata
EcPV8_Equus_caballus_papillomavirus_8	KU963288	Unclassified	EcPV8_Equus_caballus_papillomavirus_8 (Unclassified) 	Ungulata
TperPV1_Taphozous_perforatus_papillomavirus_1	KX434764	Unclassified	TperPV1_Taphozous_perforatus_papillomavirus_1 (Unclassified) 	Chiroptera
RaffPV4_Rhinolophus_affinis_papillomavirus_4	OR952802	Unclassified	RaffPV4_Rhinolophus_affinis_papillomavirus_4 (Unclassified) 	Chiroptera
TpacPV4_Tylonycteris_pachypus_papillomavirus_4	OR952808	Unclassified	TpacPV4_Tylonycteris_pachypus_papillomavirus_4 (Unclassified) 	Chiroptera
TpacPV3_Tylonycteris_pachypus_papillomavirus_3	OR952812	Unclassified	TpacPV3_Tylonycteris_pachypus_papillomavirus_3 (Unclassified) 	Chiroptera
TpacPV2_Tylonycteris_pachypus_papillomavirus_2	OR952817	Unclassified	TpacPV2_Tylonycteris_pachypus_papillomavirus_2 (Unclassified) 	Chiroptera
TpacPV1_Tylonycteris_pachypus_papillomavirus_1	OR952821	Unclassified	TpacPV1_Tylonycteris_pachypus_papillomavirus_1 (Unclassified) 	Chiroptera
SkuhPV3_Scotophilus_kuhlii_papillomavirus_3	OR952824	Unclassified	SkuhPV3_Scotophilus_kuhlii_papillomavirus_3 (Unclassified) 	Chiroptera
SkuhPV2_Scotophilus_kuhlii_papillomavirus_2	OR952837	Unclassified	SkuhPV2_Scotophilus_kuhlii_papillomavirus_2 (Unclassified) 	Chiroptera
SkuhPV1_Scotophilus_kuhlii_papillomavirus_1	OR952846	Unclassified	SkuhPV1_Scotophilus_kuhlii_papillomavirus_1 (Unclassified) 	Chiroptera
TrobPV4_Tylonycteris_robustula_papillomavirus_4	OR952872	Unclassified	TrobPV4_Tylonycteris_robustula_papillomavirus_4 (Unclassified) 	Chiroptera
TrobPV3_Tylonycteris_robustula_papillomavirus_3	OR952874	Unclassified	TrobPV3_Tylonycteris_robustula_papillomavirus_3 (Unclassified) 	Chiroptera
TrobPV2_Tylonycteris_robustula_papillomavirus_2	OR952875	Unclassified	TrobPV2_Tylonycteris_robustula_papillomavirus_2 (Unclassified) 	Chiroptera
TrobPV1_Tylonycteris_robustula_papillomavirus_1	OR952876	Unclassified	TrobPV1_Tylonycteris_robustula_papillomavirus_1 (Unclassified) 	Chiroptera
TmelPV2_Taphozous_melanopogon_papillomavirus_2	OR952881	Unclassified	TmelPV2_Taphozous_melanopogon_papillomavirus_2 (Unclassified) 	Chiroptera
TmelPV1_Taphozous_melanopogon_papillomavirus_1	OR952883	Unclassified	TmelPV1_Taphozous_melanopogon_papillomavirus_1 (Unclassified) 	Chiroptera
MsilPV1_Myotis_siligorensis_papillomavirus_1	OR952891	Unclassified	MsilPV1_Myotis_siligorensis_papillomavirus_1 (Unclassified) 	Chiroptera
RfPV8_Rhinolophus_ferrumequinum_papillomavirus_8	OR952900	Unclassified	RfPV8_Rhinolophus_ferrumequinum_papillomavirus_8 (Unclassified) 	Chiroptera
RfPV7_Rhinolophus_ferrumequinum_papillomavirus_7	OR952901	Unclassified	RfPV7_Rhinolophus_ferrumequinum_papillomavirus_7 (Unclassified) 	Chiroptera
RfPV5_Rhinolophus_ferrumequinum_papillomavirus_5	OR952907	Unclassified	RfPV5_Rhinolophus_ferrumequinum_papillomavirus_5 (Unclassified) 	Chiroptera
RfPV4_Rhinolophus_ferrumequinum_papillomavirus_4	OR952908	Unclassified	RfPV4_Rhinolophus_ferrumequinum_papillomavirus_4 (Unclassified) 	Chiroptera
RfPV3_Rhinolophus_ferrumequinum_papillomavirus_3	OR952914	Unclassified	RfPV3_Rhinolophus_ferrumequinum_papillomavirus_3 (Unclassified) 	Chiroptera
RsinPV3_Rhinolophus_sinicus_papillomavirus_3	OR952915	Unclassified	RsinPV3_Rhinolophus_sinicus_papillomavirus_3 (Unclassified) 	Chiroptera
RsinPV2_Rhinolophus_sinicus_papillomavirus_2	OR952916	Unclassified	RsinPV2_Rhinolophus_sinicus_papillomavirus_2 (Unclassified) 	Chiroptera
RsinPV1_Rhinolophus_sinicus_papillomavirus_1	OR952917	Unclassified	RsinPV1_Rhinolophus_sinicus_papillomavirus_1 (Unclassified) 	Chiroptera
RaffPV1_Rhinolophus_affinis_papillomavirus_1	OR952919	Unclassified	RaffPV1_Rhinolophus_affinis_papillomavirus_1 (Unclassified) 	Chiroptera
AplaPV3_Anas_platyrhynchos_papillomavirus_3	PP057987	Unclassified	AplaPV3_Anas_platyrhynchos_papillomavirus_3 (Unclassified) 	Others
MconPV1_Mops_condylurus_papillomavirus_1	PP711989	Unclassified	MconPV1_Mops_condylurus_papillomavirus_1 (Unclassified) 	Chiroptera
BsplPV1_Betta_splendens_papillomavirus_1	OQ633419	Unclassified	BsplPV1_Betta_splendens_papillomavirus_1 (Unclassified) 	Others
MrPV1_Myotis_ricketti_papillomavirus_1	JQ814847	Unclassified	MrPV1_Myotis_ricketti_papillomavirus_1 (Unclassified) 	Chiroptera
SaPV1_Sparus_aurata_papillomavirus_1	KX643372	Unclassified	SaPV1_Sparus_aurata_papillomavirus_1 (Unclassified) 	Others
OmykPV1_Oncorhynchus_mykiss_papillomavirus_1	MH510267	Unclassified	OmykPV1_Oncorhynchus_mykiss_papillomavirus_1 (Unclassified) 	Others
TtPV4_Tursiops_truncatus_papillomavirus_4	JN709469	Upsilonpapillomavirus	TtPV4_Tursiops_truncatus_papillomavirus_4 (Upsilonpapillomavirus) 	Ungulata
TtPV7_Tursiops_truncatus_papillomavirus_7	JN709472	Upsilonpapillomavirus	TtPV7_Tursiops_truncatus_papillomavirus_7 (Upsilonpapillomavirus) 	Ungulata
DleuPV2_Delphinapterus_leucas_papillomavirus_1	OP748391	Upsilonpapillomavirus	DleuPV2_Delphinapterus_leucas_papillomavirus_1 (Upsilonpapillomavirus) 	Ungulata
NasiPV5_Neophocaena_asiaeorientalis_papillomavirus_5	OQ274130	Upsilonpapillomavirus	NasiPV5_Neophocaena_asiaeorientalis_papillomavirus_5 (Upsilonpapillomavirus) 	Ungulata
NasiPV6_Neophocaena_asiaeorientalis_papillomavirus_6	OQ274131	Upsilonpapillomavirus	NasiPV6_Neophocaena_asiaeorientalis_papillomavirus_6 (Upsilonpapillomavirus) 	Ungulata
DdPV1_Delphinus_delphis_papillomavirus	GU117620	Upsilonpapillomavirus	DdPV1_Delphinus_delphis_papillomavirus (Upsilonpapillomavirus) 	Ungulata
PphPV2_Phocoena_phocoena_papillomavirus_2	GU117622	Upsilonpapillomavirus	PphPV2_Phocoena_phocoena_papillomavirus_2 (Upsilonpapillomavirus) 	Ungulata
TtPV2_Tursiops_truncatus_papillomavirus_2	AY956402	Upsilonpapillomavirus	TtPV2_Tursiops_truncatus_papillomavirus_2 (Upsilonpapillomavirus) 	Ungulata
TtPV1_Tursiops_truncatus_papillomavirus_1	EU240894	Upsilonpapillomavirus	TtPV1_Tursiops_truncatus_papillomavirus_1 (Upsilonpapillomavirus) 	Ungulata
TtPV3_Tursiops_truncatus_papillomavirus_3	EU240895	Upsilonpapillomavirus	TtPV3_Tursiops_truncatus_papillomavirus_3 (Upsilonpapillomavirus) 	Ungulata
BPV26_Bos_taurus_papillomavirus_26	MG281846	Xipapillomavirus	BPV26_Bos_taurus_papillomavirus_26 (Xipapillomavirus) 	Ungulata
BPV24_Bos_taurus_papillomavirus_24	MG602223	Xipapillomavirus	BPV24_Bos_taurus_papillomavirus_24 (Xipapillomavirus) 	Ungulata
ChPV2_Capra_hircus_papillomavirus_2	MN148899	Xipapillomavirus	ChPV2_Capra_hircus_papillomavirus_2 (Xipapillomavirus) 	Ungulata
BPV31_Bos_Taurus_papillomavirus_31	MW390885	Xipapillomavirus	BPV31_Bos_Taurus_papillomavirus_31 (Xipapillomavirus) 	Ungulata
BPV35_Bos_Taurus_papillomavirus_35	MW404256	Xipapillomavirus	BPV35_Bos_Taurus_papillomavirus_35 (Xipapillomavirus) 	Ungulata
BPV36_Bos_Taurus_papillomavirus_36	MW404257	Xipapillomavirus	BPV36_Bos_Taurus_papillomavirus_36 (Xipapillomavirus) 	Ungulata
BPV37_Bos_Taurus_papillomavirus_37	MW404258	Xipapillomavirus	BPV37_Bos_Taurus_papillomavirus_37 (Xipapillomavirus) 	Ungulata
BPV38_Bos_Taurus_papillomavirus_38	MW404259	Xipapillomavirus	BPV38_Bos_Taurus_papillomavirus_38 (Xipapillomavirus) 	Ungulata
BPV39_Bos_Taurus_papillomavirus_39	MW404260	Xipapillomavirus	BPV39_Bos_Taurus_papillomavirus_39 (Xipapillomavirus) 	Ungulata
BPV40_Bos_taurus_papillomavirus_40	MW428425	Xipapillomavirus	BPV40_Bos_taurus_papillomavirus_40 (Xipapillomavirus) 	Ungulata
BPV41_Bos_taurus_papillomavirus_41	MW428427	Xipapillomavirus	BPV41_Bos_taurus_papillomavirus_41 (Xipapillomavirus) 	Ungulata
BPV42_Bos_taurus_papillomavirus_42	MW428428	Xipapillomavirus	BPV42_Bos_taurus_papillomavirus_42 (Xipapillomavirus) 	Ungulata
BPV43_Bos_taurus_papillomavirus_43	MW428429	Xipapillomavirus	BPV43_Bos_taurus_papillomavirus_43 (Xipapillomavirus) 	Ungulata
BPV15_Bos_taurus_papillomavirus_15	KM983393	Xipapillomavirus	BPV15_Bos_taurus_papillomavirus_15 (Xipapillomavirus) 	Ungulata
RtPV2_Rangifer_tarandus_papillomavirus_2	KC810012	Xipapillomavirus	RtPV2_Rangifer_tarandus_papillomavirus_2 (Xipapillomavirus) 	Ungulata
BPV30_Bos_Taurus_papillomavirus_30	OL672227	Xipapillomavirus	BPV30_Bos_Taurus_papillomavirus_30 (Xipapillomavirus) 	Ungulata
CePV2_Cervus_elaphus_papillomavirus_2	KT932712	Xipapillomavirus	CePV2_Cervus_elaphus_papillomavirus_2 (Xipapillomavirus) 	Ungulata
BPV20_Bos_taurus_papillomavirus_20	KU519395	Xipapillomavirus	BPV20_Bos_taurus_papillomavirus_20 (Xipapillomavirus) 	Ungulata
BPV28_Bos_taurus_papillomavirus_28	LC500686	Xipapillomavirus	BPV28_Bos_taurus_papillomavirus_28 (Xipapillomavirus) 	Ungulata
BPV29_Bos_taurus_papillomavirus_29	LC514113	Xipapillomavirus	BPV29_Bos_taurus_papillomavirus_29 (Xipapillomavirus) 	Ungulata
BPV10_Bos_taurus_papillomavirus_10	AB331651	Xipapillomavirus	BPV10_Bos_taurus_papillomavirus_10 (Xipapillomavirus) 	Ungulata
BPV23_Bos_taurus_papillomavirus_23	KX098515	Xipapillomavirus	BPV23_Bos_taurus_papillomavirus_23 (Xipapillomavirus) 	Ungulata
BPV17_Bos_taurus_papillomavirus_17	KU519392	Xipapillomavirus	BPV17_Bos_taurus_papillomavirus_17 (Xipapillomavirus) 	Ungulata
BPV12_Bos_taurus_papillomavirus_12	JF834523	Xipapillomavirus	BPV12_Bos_taurus_papillomavirus_12 (Xipapillomavirus) 	Ungulata
BPV3_Bos_taurus_papillomavirus_3	AF486184	Xipapillomavirus	BPV3_Bos_taurus_papillomavirus_3 (Xipapillomavirus) 	Ungulata
BPV6_Bos_taurus_papillomavirus_6	AJ620208	Xipapillomavirus	BPV6_Bos_taurus_papillomavirus_6 (Xipapillomavirus) 	Ungulata
BPV9_Bos_taurus_papillomavirus_9	AB331650	Xipapillomavirus	BPV9_Bos_taurus_papillomavirus_9 (Xipapillomavirus) 	Ungulata
BPV4_Bos_taurus_papillomavirus_4	X05817	Xipapillomavirus	BPV4_Bos_taurus_papillomavirus_4 (Xipapillomavirus) 	Ungulata
BPV11_Bos_taurus_papillomavirus_11	AB543507	Xipapillomavirus	BPV11_Bos_taurus_papillomavirus_11 (Xipapillomavirus) 	Ungulata
EaPV2_Equus_asinus_papillomavirus	MH625918	Zetapapillomavirus	EaPV2_Equus_asinus_papillomavirus (Zetapapillomavirus) 	Ungulata
EcPV1_Equus_caballus_papillomavirus_1	AF498323	Zetapapillomavirus	EcPV1_Equus_caballus_papillomavirus_1 (Zetapapillomavirus) 	Ungulata
